date_raw,date,year,month,week_of_year,vegetable,price_lkr,category,sub_category
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Beans Green  1kg,115.43,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Beet Root  1kg,127.18,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Bitter Guard  1kg,234.24,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Brinjal  1kg,103.16,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Cabbagge Seed  1kg,90.0,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Cap Chillies  1kg,272.12,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Carrot  1kg,128.0,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Cucumber  1kg,143.64,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Drumstick  1kg,615.71,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Gotukola  Bunch,29.33,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Green Chillies  1kg,363.47,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Imported Potatoes  1Kg,112.9,Potatoes,Potatoes
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Kankun  Bunch,34.14,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Kathurumurunga  Bunch,37.5,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,KnolKhol  1kg,140.4,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Kohila Leaves  Bunch,37.78,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Kohila Yams  1kg,135.98,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Leeks  1kg,121.14,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Limes  1kg,390.28,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Local Potatoes 1Kg,179.75,Potatoes,Potatoes
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Long Beans  1kg,106.56,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Mukunuwenna  Bunch,35.56,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Nivithi  500g,50.0,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Raddish  1kg,97.14,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Red Pumpkin  1kg,111.52,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Sarana  Bunch,35.38,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Snake Gourd  1kg,128.48,Low Country Vegetables,Low Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Thampala  Bunch,35.63,Leaves,Leaves
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Tomatoe No1.  1kg,132.97,Up Country Vegetables,Up Country
W4.Jan.2017,2017-01-22,2017.0,1.0,3,Vetakolu  1kg,169.66,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Ash Plantain  1kg,129.41,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Ash Pumpkin  1kg,108.89,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Bandakka  1kg,127.65,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Beans Butter  1kg,160.0,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Beans Green  1kg,111.76,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Beet Root  1kg,124.32,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Bitter Guard  1kg,234.69,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Brinjal  1kg,101.54,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Cabbagge Seed  1kg,86.15,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Cap Chillies  1kg,266.67,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Carrot  1kg,125.56,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Cucumber  1kg,142.42,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Drumstick  1kg,602.0,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Gotukola  Bunch,28.67,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Green Chillies  1kg,357.59,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Imported Potatoes  1Kg,108.09,Potatoes,Potatoes
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Kankun  Bunch,34.03,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Kathurumurunga  Bunch,36.67,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,KnolKhol  1kg,140.4,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Kohila Leaves  Bunch,37.5,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Kohila Yams  1kg,133.48,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Leeks  1kg,117.06,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Limes  1kg,398.65,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Local Potatoes 1Kg,184.4,Potatoes,Potatoes
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Long Beans  1kg,110.0,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Mukunuwenna  Bunch,35.63,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Nivithi  500g,49.23,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Raddish  1kg,95.29,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Red Pumpkin  1kg,111.25,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Sarana  Bunch,35.0,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Snake Gourd  1kg,126.06,Low Country Vegetables,Low Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Thampala  Bunch,35.0,Leaves,Leaves
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Tomatoe No1.  1kg,132.57,Up Country Vegetables,Up Country
W1.Feb.2017,2017-02-01,2017.0,2.0,5,Vetakolu  1kg,168.0,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Ash Plantain  1kg,134.05,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Ash Pumpkin  1kg,111.25,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Bandakka  1kg,136.84,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Beans Butter  1kg,285.0,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Beans Green  1kg,172.8,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Beet Root  1kg,126.11,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Bitter Guard  1kg,225.16,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Brinjal  1kg,96.36,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Cabbagge Seed  1kg,93.71,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Cap Chillies  1kg,256.47,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Carrot  1kg,131.2,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Cucumber  1kg,148.0,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Drumstick  1kg,570.0,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Gotukola  Bunch,28.33,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Green Chillies  1kg,352.94,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Imported Potatoes  1Kg,110.31,Potatoes,Potatoes
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Kankun  Bunch,33.72,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Kathurumurunga  Bunch,37.27,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,KnolKhol  1kg,147.0,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Kohila Leaves  Bunch,36.25,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Kohila Yams  1kg,138.48,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Leeks  1kg,119.33,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Limes  1kg,330.0,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Local Potatoes 1Kg,177.64,Potatoes,Potatoes
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Long Beans  1kg,136.36,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Mukunuwenna  Bunch,34.69,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Nivithi  500g,48.46,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Raddish  1kg,99.33,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Red Pumpkin  1kg,115.56,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Sarana  Bunch,35.38,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Snake Gourd  1kg,134.5,Low Country Vegetables,Low Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Thampala  Bunch,35.33,Leaves,Leaves
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Tomatoe No1.  1kg,125.0,Up Country Vegetables,Up Country
W2.Feb.2017,2017-02-08,2017.0,2.0,6,Vetakolu  1kg,175.38,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Ash Plantain  1kg,133.51,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Ash Pumpkin  1kg,118.67,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Bandakka  1kg,142.32,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Beans Butter  1kg,310.0,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Beans Green  1kg,179.23,Up Country Vegetables,Up Country
